"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"55","https://www.petlove.com.br",1571179301.549,1571179302.299,0.75,"no cache",4
"57","https://m.alibaba.com/",1571179377.81,1571179378.437,0.627000093460083,"no cache",4
"59","https://nylon.com",1571179459.726,1571179460.285,0.559000015258789,"no cache",4
"61","https://www.zumata.com",1571179539.627,1571179542.175,2.5479998588562,"no cache",4
"63","https://slate.com",1571179610.817,1571179611.985,1.16799998283386,"no cache",4
"65","https://www.smashingmagazine.com",1571179689.556,1571179690.097,0.540999889373779,"no cache",4
"67","https://edgy.app",1571179758.003,1571179758.238,0.234999895095825,"no cache",4
"69","https://www.soundslice.com",1571179825.72,1571179825.991,0.270999908447266,"no cache",4
"71","https://www.nrw-tourismus.de",1571179894.959,1571179895.504,0.544999837875366,"no cache",4
"73","https://www.petlove.com.br",1571180040.836,1571180041.578,0.742000102996826,"no cache",5
"75","https://m.alibaba.com/",1571180116.746,1571180118.194,1.44799995422363,"no cache",5
"77","https://nylon.com",1571180197.501,1571180198.054,0.552999973297119,"no cache",5
"79","https://www.zumata.com",1571180276.888,1571180279.371,2.48300004005432,"no cache",5
"81","https://slate.com",1571180348.923,1571180349.827,0.903999805450439,"no cache",5
"83","https://www.smashingmagazine.com",1571180425.197,1571180425.929,0.73199987411499,"no cache",5
"85","https://edgy.app",1571180493.647,1571180493.911,0.263999938964844,"no cache",5
"87","https://www.soundslice.com",1571180562.673,1571180562.975,0.301999807357788,"no cache",5
"89","https://www.nrw-tourismus.de",1571180630.838,1571180631.37,0.531999826431274,"no cache",5
"91","https://www.petlove.com.br",1571180776.276,1571180776.878,0.601999998092651,"no cache",6
"93","https://m.alibaba.com/",1571180851.373,1571180852.016,0.64300012588501,"no cache",6
"95","https://nylon.com",1571180931.968,1571180932.518,0.549999952316284,"no cache",6
"97","https://www.zumata.com",1571181013.379,1571181015.537,2.15799999237061,"no cache",6
"99","https://slate.com",1571181084.717,1571181085.5,0.782999992370605,"no cache",6
"101","https://www.smashingmagazine.com",1571181164.843,1571181165.492,0.64900016784668,"no cache",6
"103","https://edgy.app",1571181232.559,1571181232.791,0.23199987411499,"no cache",6
"105","https://www.soundslice.com",1571181300.477,1571181300.754,0.276999950408936,"no cache",6
"107","https://www.nrw-tourismus.de",1571181368.432,1571181368.967,0.535000085830688,"no cache",6
"109","https://www.petlove.com.br",1571181514.308,1571181515.003,0.694999933242798,"no cache",7
"111","https://m.alibaba.com/",1571181589.824,1571181590.848,1.02400016784668,"no cache",7
"113","https://nylon.com",1571181671.064,1571181671.963,0.89900016784668,"no cache",7
"115","https://www.zumata.com",1571181751.186,1571181753.63,2.44400000572205,"no cache",7
"117","https://slate.com",1571181821.687,1571181822.782,1.09500002861023,"no cache",7
"119","https://www.smashingmagazine.com",1571181901.601,1571181902.144,0.542999982833862,"no cache",7
"121","https://edgy.app",1571181970.371,1571181970.568,0.197000026702881,"no cache",7
"123","https://www.soundslice.com",1571182038.418,1571182038.657,0.239000082015991,"no cache",7
"125","https://www.nrw-tourismus.de",1571182106.331,1571182106.853,0.521999835968018,"no cache",7
"127","https://www.petlove.com.br",1571182251.981,1571182252.701,0.720000028610229,"no cache",8
"129","https://m.alibaba.com/",1571182327.586,1571182330.191,2.60500001907349,"no cache",8
"131","https://nylon.com",1571182408.283,1571182410.988,2.70499992370605,"no cache",8
"133","https://www.zumata.com",1571182486.171,1571182488.472,2.30099987983704,"no cache",8
"135","https://slate.com",1571182556.276,1571182557.323,1.04699993133545,"no cache",8
"137","https://www.smashingmagazine.com",1571182635.128,1571182635.704,0.575999975204468,"no cache",8
"139","https://edgy.app",1571182701.087,1571182701.319,0.232000112533569,"no cache",8
"141","https://www.soundslice.com",1571182768.843,1571182769.116,0.273000001907349,"no cache",8
"143","https://www.nrw-tourismus.de",1571182837.33,1571182837.85,0.519999980926514,"no cache",8
"145","https://www.petlove.com.br",1571182982.663,1571182983.267,0.603999853134155,"no cache",9
"147","https://m.alibaba.com/",1571183058.132,1571183059.414,1.28200006484985,"no cache",9
"149","https://nylon.com",1571183137.629,1571183138.256,0.627000093460083,"no cache",9
