zumatawwwzumatacom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom1,7.51116799982,7.51224299986,0.00107500003651,core 0 cpu_frequency,0.000433219854712,1571177332.51,1571177332.51
zumatawwwzumatacom1,7.51224299986,7.55131599959,0.0390729997307,core 0 cpu_idle,0.000595159931898,1571177332.51,1571177332.55
zumatawwwzumatacom1,7.55131599959,7.55201300001,0.000697000417858,core 0 cpu_frequency,0.000280887822795,1571177332.55,1571177332.55
zumatawwwzumatacom1,7.55201300001,7.55236399965,0.000350999645889,core 0 cpu_frequency,0.000141451172495,1571177332.55,1571177332.55
zumatawwwzumatacom1,7.55236399965,7.57214799989,0.0197840002365,core 0 cpu_idle,0.000301349891603,1571177332.55,1571177332.57
zumatawwwzumatacom1,7.57214799989,7.57434899965,0.00220099976286,core 0 cpu_frequency,0.000886992339635,1571177332.57,1571177332.57
zumatawwwzumatacom1,7.57434899965,7.59226399986,0.0179150002077,core 0 cpu_idle,0.000272881283164,1571177332.57,1571177332.59
zumatawwwzumatacom1,7.59226399986,7.59235899989,9.50000248849e-05,core 0 cpu_frequency,3.82845540285e-05,1571177332.59,1571177332.59
zumatawwwzumatacom1,7.59235899989,7.61111899978,0.0187599998899,core 0 cpu_idle,0.000285752318323,1571177332.59,1571177332.61
zumatawwwzumatacom1,7.61111899978,7.61120499996,8.60001891851e-05,core 0 cpu_frequency,3.46576634407e-05,1571177332.61,1571177332.61
zumatawwwzumatacom1,7.61120499996,7.61198499985,0.000779999885708,core 0 cpu_idle,1.18809582591e-05,1571177332.61,1571177332.61
zumatawwwzumatacom1,7.61198499985,7.61242199969,0.000436999835074,core 0 cpu_frequency,0.000176108835936,1571177332.61,1571177332.61
zumatawwwzumatacom1,7.61242199969,7.6323909997,0.0199690000154,core 0 cpu_idle,0.000304167808235,1571177332.61,1571177332.63
zumatawwwzumatacom1,7.6323909997,7.63336199988,0.000971000175923,core 0 cpu_frequency,0.000391308410096,1571177332.63,1571177332.63
zumatawwwzumatacom1,7.63336199988,7.65419499995,0.0208330000751,core 0 cpu_idle,0.000317328257143,1571177332.63,1571177332.65
zumatawwwzumatacom1,7.65419499995,7.65432599979,0.000130999833345,core 0 cpu_frequency,5.2792304039e-05,1571177332.65,1571177332.65
zumatawwwzumatacom1,7.65432599979,7.66344999988,0.00912400009111,core 0 cpu_idle,0.000138976769388,1571177332.65,1571177332.66
zumatawwwzumatacom1,7.66344999988,7.66351199988,6.20000064373e-05,core 0 cpu_frequency,2.49857049942e-05,1571177332.66,1571177332.66
zumatawwwzumatacom1,7.66351199988,7.66391299991,0.000401000026613,core 0 cpu_idle,6.10803240538e-06,1571177332.66,1571177332.66
zumatawwwzumatacom1,7.66391299991,7.66561200004,0.00169900013134,core 0 cpu_frequency,0.000684688897729,1571177332.66,1571177332.67
zumatawwwzumatacom1,7.66561200004,7.68423499959,0.0186229995452,core 0 cpu_idle,0.000283665529072,1571177332.67,1571177332.68
zumatawwwzumatacom1,7.68423499959,7.68433499988,0.000100000295788,core 0 cpu_frequency,4.02996392012e-05,1571177332.68,1571177332.68
zumatawwwzumatacom1,7.68433499988,7.7111879997,0.0268529998139,core 0 cpu_idle,0.000409024893165,1571177332.68,1571177332.71
